home_h1_count,home_h1_total_persistence,home_h1_mean_persistence,home_h1_max_persistence,home_clusters,away_h1_count,away_h1_total_persistence,away_h1_mean_persistence,away_h1_max_persistence,away_clusters,d_bottleneck_AB,d_landscape_l2_AB,match_id,frame_idx
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,4,0.0,0.0,2017461,134
1,4.244071960449219,4.244071960449219,4.244071960449219,9,0,0.0,0.0,0.0,4,2.1220359802246094,7.058943976107254,2017461,135
1,4.992073059082031,4.992073059082031,4.992073059082031,5,0,0.0,0.0,0.0,7,2.4960365295410156,7.831478419257538,2017461,136
0,0.0,0.0,0.0,4,1,2.7638320922851562,2.7638320922851562,2.7638320922851562,7,1.3819160461425781,3.9142175504429866,2017461,137
1,0.5608596801757812,0.5608596801757812,0.5608596801757812,6,0,0.0,0.0,0.0,4,0.2804298400878906,0.3716739889241614,2017461,138
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,2,0.0,0.0,2017461,139
0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,4,0.0,0.0,2017461,140
0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,4,0.0,0.0,2017461,141
0,0.0,0.0,0.0,9,0,0.0,0.0,0.0,6,0.0,0.0,2017461,142
1,2.176593780517578,2.176593780517578,2.176593780517578,6,0,0.0,0.0,0.0,5,1.088296890258789,2.2629586474287886,2017461,143
0,0.0,0.0,0.0,4,1,0.3071708679199219,0.3071708679199219,0.3071708679199219,5,0.15358543395996094,0.05295883830954539,2017461,144
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,4,0.0,0.0,2017461,145
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,5,0.0,0.0,2017461,146
0,0.0,0.0,0.0,6,0,0.0,0.0,0.0,4,0.0,0.0,2017461,147
1,5.842584609985352,5.842584609985352,5.842584609985352,9,1,2.067873001098633,2.067873001098633,2.067873001098633,7,2.921292304992676,19.55988310859805,2017461,148
0,0.0,0.0,0.0,5,1,8.603376388549805,8.603376388549805,8.603376388549805,8,4.301688194274902,16.491719889614295,2017461,149
0,0.0,0.0,0.0,4,1,5.273952484130859,5.273952484130859,5.273952484130859,6,2.6369762420654297,8.608029170159464,2015213,0
1,2.072214126586914,2.072214126586914,2.072214126586914,6,0,0.0,0.0,0.0,3,1.036107063293457,2.3516119149187515,2015213,1
2,13.51369857788086,6.75684928894043,12.210844039916992,10,1,1.8549823760986328,1.8549823760986328,1.8549823760986328,6,6.105422019958495,48.39937888699411,2015213,2
