sample_idx,level,cutoff_m,birth,death,p
44,individual,2.75,16.605785369873047,19.180315017700195,2.5745296478271484
44,individual,2.75,13.857377052307129,14.781779289245605,0.9244022369384766
44,individual,2.75,12.830744743347168,13.871243476867676,1.0404987335205078
45,individual,2.75,14.890970230102539,18.589323043823242,3.698352813720703
45,individual,2.75,14.141092300415039,18.92051887512207,4.779426574707031
46,individual,2.75,17.711626052856445,20.379364013671875,2.6677379608154297
46,individual,2.75,17.33803367614746,19.131465911865234,1.7934322357177734
46,individual,2.75,14.76336669921875,14.95152473449707,0.1881580352783203
46,individual,2.75,13.633209228515625,13.719988822937012,0.08677959442138672
46,individual,2.75,10.32465934753418,10.50676441192627,0.18210506439208984
48,individual,2.75,20.04020118713379,20.49718475341797,0.4569835662841797
48,individual,2.75,17.495285034179688,19.441133499145508,1.9458484649658203
48,individual,2.75,9.7694673538208,10.034789085388184,0.2653217315673828
49,individual,2.75,20.76308822631836,22.58364486694336,1.820556640625
49,individual,2.75,18.264734268188477,18.361509323120117,0.09677505493164062
49,individual,2.75,18.16794204711914,18.70240592956543,0.5344638824462891
49,individual,2.75,15.326541900634766,15.545661926269531,0.21912002563476562
49,individual,2.75,14.747101783752441,19.92266273498535,5.17556095123291
49,individual,2.75,14.006426811218262,17.254714965820312,3.248288154602051
49,individual,2.75,12.1217041015625,12.566256523132324,0.4445524215698242
50,individual,2.75,28.202613830566406,28.206396102905273,0.0037822723388671875
50,individual,2.75,16.037918090820312,16.068161010742188,0.030242919921875
50,individual,2.75,12.2164888381958,14.537967681884766,2.321478843688965
50,individual,2.75,11.298300743103027,14.327208518981934,3.0289077758789062
51,individual,2.75,15.02993392944336,19.296085357666016,4.266151428222656
51,individual,2.75,14.606399536132812,15.639961242675781,1.0335617065429688
51,individual,2.75,13.283411026000977,14.225529670715332,0.9421186447143555
51,individual,2.75,5.519284248352051,6.141213417053223,0.6219291687011719
52,individual,2.75,15.082639694213867,16.12338638305664,1.0407466888427734
52,individual,2.75,13.802264213562012,14.92597770690918,1.123713493347168
53,individual,2.75,15.29224967956543,19.207077026367188,3.914827346801758
53,individual,2.75,8.058938980102539,8.761746406555176,0.7028074264526367
54,individual,2.75,15.760003089904785,21.461034774780273,5.701031684875488
54,individual,2.75,13.989328384399414,16.498924255371094,2.5095958709716797
54,individual,2.75,7.417359828948975,7.756197452545166,0.3388376235961914
55,individual,2.75,14.401267051696777,17.024511337280273,2.623244285583496
55,individual,2.75,10.092300415039062,12.468219757080078,2.3759193420410156
