delta,mean_ch,mean_sil,mean_ic,n
26.0,10.53386175103281,0.5312989990813048,0.1991136249274458,43681
26.25,10.652487309756115,0.5342768410833905,0.19355123224001186,43681
26.5,10.79037330802499,0.5374380925572022,0.18782295339648994,43681
26.75,10.919692074540645,0.540393983706237,0.1823715042967053,43681
27.0,11.055442197784307,0.5434440112949652,0.17686947485543517,43681
27.25,11.195668067703016,0.5464682730807572,0.1715432609441241,43681
27.5,11.352207232327332,0.549719899689941,0.16573983705346965,43681
27.75,11.502341461484347,0.5527337214793627,0.16036470184557894,43681
28.0,11.6694238501432,0.5560463492582414,0.15478753115585675,43681
28.25,11.84087305197931,0.5593026950449268,0.14936648502293126,43681
28.5,12.035548296294493,0.5629137877266339,0.14355034650458937,43681
28.75,12.233993082774791,0.5665512658205373,0.13787826491964025,43681
29.0,12.435742473674754,0.5701193583753443,0.13233415031060464,43681
29.25,12.665214562576361,0.57420397237852,0.12635649831555948,43681
29.5,12.898485065979544,0.5782399105444268,0.12074484425740775,43681
29.75,13.155948623003848,0.5826574908954774,0.11489508414338538,43681
30.0,13.426322325340344,0.5871888362525117,0.10923630330723516,43681
30.25,13.70983240945919,0.5918323326604432,0.10344351693656449,43681
30.5,13.999698567320538,0.5964414543765247,0.09801694305129409,43681
30.75,14.290750285780367,0.6009299107157673,0.09299107163421111,43681
31.0,14.607062978063256,0.6057198915464481,0.08801384260647559,43681
31.25,14.957148923919204,0.6109653109491304,0.0831037918682897,43681
31.5,15.285844876870998,0.6157548394464757,0.0785484545427299,43681
31.75,15.639056117021491,0.6207428661986648,0.07411475894862322,43681
32.0,16.013659281067284,0.6258125846678824,0.06966274200282117,43681
32.25,16.3671098614048,0.6303950006885539,0.06569929443556191,43681
32.5,16.754972876078607,0.6351961510477055,0.061656454344289444,43681
32.75,17.123992760544034,0.6397169137129376,0.0579559703988416,43681
33.0,17.479708746693063,0.643947450619238,0.05453619929754904,43681
33.25,17.85928622891835,0.6483426844626385,0.051366676970421764,43681
